Date,AdjClose
2017-09-12,27.7024
2017-09-13,27.4288
2017-09-14,27.463
2017-09-15,27.3604
2017-09-18,27.4288
2017-09-19,27.0184
2017-09-20,27.0526
2017-09-21,27.1552
2017-09-22,27.1552
2017-09-25,27.0526
2017-09-26,27.1552
2017-09-27,27.3946
2017-09-28,27.292
2017-09-29,27.5998
2017-10-02,27.7366
2017-10-03,27.7024
2017-10-05,27.976
2017-10-06,28.0444
2017-10-11,28.2838
2017-10-12,28.9337
2017-10-13,28.8995
2017-10-16,29.1047
2017-10-17,28.7969
2017-10-18,29.0021
2017-10-19,28.9337
2017-10-20,29.0705
2017-10-23,28.8995
2017-10-24,28.7285
2017-10-25,29.0021
2017-10-26,28.8653
2017-10-27,28.2838
2017-10-30,28.1812
2017-10-31,28.2496
2017-11-01,28.3181
2017-11-02,28.5917
2017-11-03,28.7285
2017-11-06,28.6943
2017-11-07,28.5233
2017-11-08,28.5233
2017-11-09,28.6943
2017-11-10,28.5575
2017-11-13,28.3865
2017-11-14,28.5233
2017-11-15,28.6259
2017-11-16,28.4206
2017-11-17,28.3523
2017-11-20,28.4206
2017-11-21,28.3181
2017-11-22,28.7285
2017-11-23,28.8311
2017-11-24,28.9679
2017-11-27,28.9679
2017-11-28,28.5233
2017-11-29,28.6259
2017-11-30,27.8392
2017-12-01,27.9418
2017-12-04,28.0102
2017-12-05,27.3604
2017-12-06,27.3262
2017-12-07,27.292
2017-12-08,27.3262
2017-12-11,27.463
2017-12-12,27.3946
2017-12-13,27.3946
2017-12-14,27.292
2017-12-15,26.95
2017-12-18,26.608
2017-12-19,26.7106
2017-12-20,26.8474
2017-12-21,26.8474
2017-12-22,27.0184
2017-12-25,27.0184
2017-12-26,26.9158
2017-12-27,26.9158
2017-12-28,26.95
2017-12-29,26.95
2018-01-02,27.0526
2018-01-03,27.3262
2018-01-04,27.3262
2018-01-05,27.3262
2018-01-08,27.292
2018-01-09,27.3946
2018-01-10,27.3946
2018-01-11,27.2236
2018-01-12,27.292
2018-01-15,27.3946
2018-01-16,27.3946
2018-01-17,27.5998
2018-01-18,27.5998
2018-01-19,27.4972
2018-01-22,27.2578
2018-01-23,27.1552
2018-01-24,27.1552
2018-01-25,27.2578
2018-01-26,27.292
2018-01-29,27.3604
2018-01-30,27.2236
2018-01-31,27.1894
2018-02-01,26.9842
2018-02-02,26.3344
2018-02-05,25.924
2018-02-06,25.1032
2018-02-07,25.3084
2018-02-08,24.9664
2018-02-09,24.727
2018-02-12,24.4876
2018-02-21,25.1032
2018-02-22,25.069
2018-02-23,25.3426
2018-02-26,25.5136
2018-02-27,25.6504
2018-03-01,25.3768
2018-03-02,25.4452
2018-03-05,25.1716
2018-03-06,25.24
2018-03-07,25.2742
2018-03-08,25.3768
2018-03-09,25.6846
2018-03-12,25.6504
2018-03-13,25.8214
2018-03-14,25.8898
2018-03-15,25.7188
2018-03-16,25.8898
2018-03-19,25.9582
2018-03-20,25.8214
2018-03-21,26.095
2018-03-22,26.095
2018-03-23,25.753
2018-03-26,25.7188
2018-03-27,25.7872
2018-03-28,25.7872
2018-03-29,25.7872
2018-03-30,26.1976
2018-04-02,26.1634
2018-04-03,26.0266
2018-04-09,26.266
2018-04-10,26.6422
2018-04-11,26.779
2018-04-12,26.9158
2018-04-13,26.95
2018-04-16,26.95
2018-04-17,26.95
2018-04-18,27.0184
2018-04-19,27.3946
2018-04-20,27.3604
2018-04-23,27.2236
2018-04-24,27.0868
2018-04-25,26.5396
2018-04-26,26.5396
2018-04-27,27.1552
2018-04-30,27.3946
2018-05-02,27.3604
2018-05-03,27.4972
2018-05-04,27.8734
2018-05-07,27.6682
2018-05-08,28.0444
2018-05-09,28.2496
2018-05-10,28.3523
2018-05-11,28.3865
2018-05-14,28.5575
2018-05-15,28.7285
2018-05-16,29.0705
2018-05-17,29.0705
2018-05-18,29.0705
2018-05-21,29.2757
2018-05-22,29.2757
2018-05-23,29.1389
2018-05-24,29.2757
2018-05-25,29.4125
2018-05-28,29.4809
2018-05-29,29.4809
2018-05-30,29.2757
2018-05-31,29.7545
2018-06-01,29.4125
2018-06-04,29.9939
2018-06-05,30.0623
2018-06-06,30.3017
2018-06-07,30.4043
2018-06-08,29.7887
2018-06-11,30.0965
2018-06-12,29.9597
2018-06-13,29.9939
2018-06-14,29.6861
2018-06-15,29.4125
2018-06-19,30.0281
2018-06-20,29.7887
2018-06-21,29.6861
2018-06-22,29.9939
2018-06-25,29.3783
2018-06-26,30.0281
2018-06-27,29.5493
2018-06-28,29.5493
2018-06-29,29.5493
2018-07-02,29.7545
2018-07-03,29.3441
2018-07-04,29.4125
2018-07-05,29.2073
2018-07-06,29.3099
2018-07-09,29.3441
2018-07-10,29.5493
2018-07-11,29.5151
2018-07-12,29.9597
2018-07-13,30.0965
2018-07-16,30.0623
2018-07-17,30.1649
2018-07-18,30.2675
2018-07-19,30.2675
2018-07-20,30.2675
2018-07-23,30.0623
2018-07-24,29.8571
2018-07-25,29.7485
2018-07-26,30.038
2018-07-27,30.038
2018-07-30,29.8571
2018-07-31,30.7256
2018-08-01,30.219
2018-08-02,29.8933
2018-08-03,29.5676
2018-08-06,29.2418
2018-08-07,29.0971
2018-08-08,29.6037
2018-08-09,29.6761
2018-08-10,29.3142
2018-08-13,29.3142
2018-08-14,28.8799
2018-08-15,28.5904
2018-08-16,28.3371
2018-08-17,28.0837
2018-08-20,27.6857
2018-08-21,27.9752
2018-08-22,27.6133
2018-08-23,27.5771
2018-08-24,27.8666
2018-08-27,28.0114
2018-08-28,28.518
2018-08-29,28.4456
2018-08-30,28.1923
2018-08-31,28.1561
2018-09-03,28.0476
2018-09-04,28.1561
2018-09-05,27.9028
2018-09-06,27.6857
2018-09-07,27.2514
2018-09-10,26.998
2018-09-11,27.2876
2018-09-12,26.9257
2018-09-13,27.1428
2018-09-14,27.3237
2018-09-17,27.3599
2018-09-18,27.179
2018-09-19,27.4323
2018-09-20,27.4323
2018-09-21,27.4323
2018-09-25,27.4323
2018-09-26,27.4323
2018-09-27,27.4323
2018-09-28,27.4323
2018-10-01,27.2687
2018-10-02,26.4697
2018-10-03,26.0368
2018-10-04,25.8703
2018-10-05,25.9369
2018-10-08,25.7705
2018-10-09,25.6373
2018-10-11,25.1378
2018-10-12,24.8049
2018-10-15,24.8049
2018-10-16,24.8382
2018-10-17,24.8715
2018-10-18,24.6717
2018-10-19,24.6717
2018-10-22,24.3721
2018-10-23,24.4387
2018-10-24,24.3388
2018-10-25,23.8393
2018-10-26,24.0724
2018-10-29,23.7062
2018-10-30,23.7727
2018-10-31,24.4719
2018-11-01,24.9381
2018-11-02,25.1046
2018-11-05,24.8715
2018-11-06,24.3055
2018-11-07,24.4719
2018-11-08,24.3055
2018-11-09,23.8393
2018-11-12,23.7727
2018-11-13,23.8393
2018-11-14,24.705
2018-11-15,24.6051
2018-11-16,24.6717
2018-11-19,24.8382
2018-11-20,24.3388
2018-11-21,24.4054
2018-11-22,24.4719
2018-11-23,24.6384
2018-11-26,24.6384
2018-11-27,24.7716
2018-11-28,25.1046
2018-11-29,25.0713
2018-11-30,24.9714
2018-12-03,25.1046
2018-12-04,24.8382
2018-12-05,24.5385
2018-12-06,24.3055
2018-12-07,24.4387
2018-12-10,24.3388
2018-12-11,24.2389
2018-12-12,24.3055
2018-12-13,24.3721
2018-12-14,24.3721
2018-12-17,24.3721
2018-12-18,23.9725
2018-12-19,23.9725
2018-12-20,24.0724
2018-12-21,24.0058
2018-12-24,24.4719
2018-12-25,24.4719
2018-12-26,24.4719
2018-12-27,24.4387
2018-12-28,24.6051
2019-01-02,24.6384
2019-01-03,24.6051
2019-01-04,24.6051
2019-01-07,24.9048
2019-01-08,24.8382
2019-01-09,25.2377
2019-01-10,25.3043
2019-01-11,25.4042
2019-01-14,25.3376
2019-01-15,25.3376
2019-01-16,25.3709
2019-01-17,25.271
2019-01-18,25.4042
2019-01-21,25.4042
2019-01-22,25.3709
2019-01-23,25.7372
2019-01-24,25.604
2019-01-25,25.8038
2019-01-28,25.9702
2019-01-29,25.9702
2019-01-30,25.9369
2019-02-11,25.6373
2019-02-12,25.7039
2019-02-13,25.837
2019-02-14,25.837
2019-02-15,25.837
2019-02-18,25.837
2019-02-19,25.9702
2019-02-20,25.9036
2019-02-21,25.9369
2019-02-22,26.2699
2019-02-25,26.3698
2019-02-26,26.4031
2019-02-27,26.503
