,0
2014-08-31,11.026142120361328
2014-09-30,10.404728889465332
2014-10-31,11.500894546508787
2014-11-30,11.888365745544434
2014-12-31,11.773882865905762
2015-01-31,11.97642707824707
2015-02-28,12.381513595581056
2015-03-31,12.161356925964355
2015-04-30,12.584057807922363
2015-05-31,12.522412300109863
2015-06-30,12.223000526428224
2015-07-31,11.650598526000977
2015-08-31,10.97252082824707
2015-09-30,10.990132331848145
2015-10-31,11.479422569274902
2015-11-30,11.116150856018066
2015-12-31,11.034414291381836
2016-01-31,10.716548919677734
2016-02-29,11.12523078918457
2016-03-31,11.742796897888184
2016-04-30,11.188803672790527
2016-05-31,11.470340728759766
2016-06-30,11.888102531433104
2016-07-31,12.604899406433104
2016-08-31,12.761191368103027
2016-09-30,13.04620361328125
2016-10-31,13.349603652954102
2016-11-30,13.184112548828123
2016-12-31,13.202500343322754
2017-01-31,13.47832202911377
2017-02-28,13.770094871520996
2017-03-31,13.873632431030272
2017-04-30,14.03364372253418
2017-05-31,14.40071964263916
2017-06-30,15.134873390197754
2017-07-31,15.445393562316896
2017-08-31,15.74917697906494
2017-09-30,15.312492370605469
2017-10-31,16.176366806030273
2017-11-30,15.616272926330566
2017-12-31,15.597286224365234
2018-01-31,16.48646354675293
2018-02-28,16.038511276245117
2018-03-31,16.135896682739258
2018-04-30,15.580829620361328
2018-05-31,15.726896286010742
2018-06-30,15.863228797912598
2018-07-31,16.800682067871094
2018-08-31,17.075613021850586
2018-09-30,17.0657958984375
2018-10-31,15.229604721069336
2018-11-30,15.07249355316162
2018-12-31,14.82701587677002
2019-01-31,15.053770065307615
2019-02-28,15.72192668914795
2019-03-31,16.025632858276367
2019-04-30,16.764652252197266
2019-05-31,15.883902549743652
2019-06-30,16.379961013793945
2019-07-31,16.907766342163086
2019-08-31,16.713775634765625
2019-09-30,17.275327682495117
2019-10-31,18.3984317779541
2019-11-30,18.684309005737305
2019-12-31,19.79720115661621
2020-01-31,18.96462821960449
2020-02-29,18.69053840637207
2020-03-31,16.05510139465332
2020-04-30,18.02640914916992
2020-05-31,17.805028915405273
2020-06-30,18.95408058166504
2020-07-31,22.043689727783203
2020-08-31,21.61894989013672
2020-09-30,21.87379264831543
2020-10-31,21.87379264831543
2020-11-30,24.061174392700195
2020-12-31,25.96185874938965
2021-01-31,27.81877899169922
2021-02-28,28.947153091430664
2021-03-31,29.240102767944336
2021-04-30,30.50951766967773
2021-05-31,29.750038146972656
2021-06-30,30.15147399902344
2021-07-31,29.59769630432129
2021-08-31,30.53316116333008
2021-09-30,29.815242767333984
2021-10-31,29.543312072753903
2021-11-30,30.02191734313965
2021-12-31,31.653547286987305
2022-01-31,31.469623565673828
2022-02-28,30.791542053222656
2022-03-31,30.702611923217773
2022-04-30,28.62390899658203
2022-05-31,28.85734748840332
2022-06-30,25.74484062194824
2022-07-31,26.64926528930664
2022-08-31,26.610950469970703
2022-09-30,23.40903854370117
2022-10-31,22.413393020629883
2022-11-30,26.328094482421875
2022-12-31,24.93645477294922
2023-01-31,27.37195205688477
2023-02-28,27.48763656616211
2023-03-31,28.135496139526367
2023-04-30,27.163707733154297
2023-05-31,29.188262939453125
2023-06-30,29.870826721191406
2023-07-31,30.23663711547852
2023-08-31,29.50889015197754
2023-09-30,28.792882919311523
2023-10-31,28.44074821472168
2023-11-30,30.835264205932617
2023-12-31,31.797760009765625
2024-01-31,32.27500915527344
2024-02-29,34.425071716308594
2024-03-31,37.90842056274414
2024-04-30,38.01652145385742
2024-05-31,39.87831497192383
2024-06-30,44.79103088378906
2024-07-31,43.66773986816406
2024-08-31,43.78847122192383
2024-09-30,44.41625595092773
2024-10-31,46.311710357666016
2024-11-30,45.21306991577149
2024-12-31,47.26546859741211
2025-01-31,49.2773551940918
2025-02-28,47.12315368652344
2025-03-31,42.2884407043457
2025-04-30,41.27253723144531
2025-05-31,44.00200653076172
2025-06-30,47.35326385498047
2025-07-31,50.83253479003906
2025-08-31,51.76931381225586
2025-09-30,56.995548248291016
2025-10-31,63.848819732666016
2025-11-30,61.48221969604492
2025-12-31,64.6869888305664
2026-01-31,72.5999984741211
2026-02-28,81.1500015258789
2026-03-31,72.3499984741211
2026-04-30,90.5
2026-05-31,105.4000015258789
2026-06-30,107.8000030517578
2026-07-31,108.25
