Date,Close,granularity
2011-03-04,40.2,daily
2011-03-07,39.85,daily
2011-03-08,39.0,daily
2011-03-09,37.95,daily
2011-03-10,36.35,daily
2011-03-11,36.3,daily
2011-03-14,36.4,daily
2011-03-15,34.95,daily
2011-03-16,35.75,daily
2011-03-17,35.4,daily
2011-03-18,36.15,daily
2011-03-21,36.2,daily
2011-03-22,36.05,daily
2011-03-23,35.7,daily
2011-03-24,36.05,daily
2011-03-25,36.1,daily
2011-03-28,35.8,daily
2011-03-29,35.7,daily
2011-03-30,35.95,daily
2011-03-31,36.8,daily
2011-04-01,36.4,daily
2011-04-06,37.5,daily
2011-04-07,36.3,daily
2011-04-08,36.25,daily
2011-04-11,36.25,daily
2011-04-12,35.2,daily
2011-04-13,35.7,daily
2011-04-14,35.8,daily
2011-04-15,34.8,daily
2011-04-18,34.25,daily
2011-04-19,33.4,daily
2011-04-20,35.0,daily
2011-04-21,35.1,daily
2011-04-22,35.65,daily
2011-04-25,34.55,daily
2011-04-26,35.15,daily
2011-04-27,35.4,daily
2011-04-28,37.85,daily
2011-04-29,38.2,daily
2011-05-03,38.55,daily
2011-05-04,38.4,daily
2011-05-05,38.9,daily
2011-05-06,38.05,daily
2011-05-09,38.35,daily
2011-05-10,38.0,daily
2011-05-11,38.85,daily
2011-05-12,39.05,daily
2011-05-13,38.9,daily
2011-05-16,38.7,daily
2011-05-17,38.8,daily
2011-05-18,38.9,daily
2011-05-19,38.7,daily
2011-05-20,38.15,daily
2011-05-23,37.3,daily
2011-05-24,37.0,daily
2011-05-25,35.75,daily
2011-05-26,36.0,daily
2011-05-27,36.3,daily
2011-05-30,38.0,daily
2011-05-31,38.55,daily
2011-06-01,38.75,daily
2011-06-02,38.0,daily
2011-06-03,38.3,daily
2011-06-07,37.8,daily
2011-06-08,38.3,daily
2011-06-09,37.85,daily
2011-06-10,36.95,daily
2011-06-13,36.25,daily
2011-06-14,35.75,daily
2011-06-15,35.95,daily
2011-06-16,35.0,daily
2011-06-17,35.2,daily
2011-06-20,35.15,daily
2011-06-21,35.4,daily
2011-06-22,35.65,daily
2011-06-23,36.05,daily
2011-06-24,35.7,daily
2011-06-27,35.7,daily
2011-06-28,34.7,daily
2011-06-29,34.55,daily
2011-06-30,36.95,daily
2011-07-01,35.2,daily
2011-07-04,35.15,daily
2011-07-05,34.3,daily
2011-07-06,34.5,daily
2011-07-07,34.95,daily
2011-07-08,33.45,daily
2011-07-11,32.45,daily
2011-07-12,31.85,daily
2011-07-13,31.1,daily
2011-07-14,31.4,daily
2011-07-15,31.85,daily
2011-07-18,29.9,daily
2011-07-19,28.4,daily
2011-07-20,28.9,daily
2011-07-21,29.0,daily
2011-07-22,30.1,daily
2011-07-25,29.9,daily
2011-07-26,30.1,daily
2011-07-27,30.25,daily
2011-07-28,29.7,daily
2011-07-29,28.9,daily
2011-08-01,29.35,daily
2011-08-02,28.6,daily
2011-08-03,27.75,daily
2011-08-04,27.7,daily
2011-08-05,25.8,daily
2011-08-08,24.4,daily
2011-08-09,25.0,daily
2011-08-10,26.0,daily
2011-08-11,26.75,daily
2011-08-12,25.9,daily
2011-08-15,26.3,daily
2011-08-16,25.85,daily
2011-08-17,25.0,daily
2011-08-18,24.8,daily
2011-08-19,23.55,daily
2011-08-22,23.45,daily
2011-08-23,24.5,daily
2011-08-24,24.35,daily
2011-08-25,24.55,daily
2011-08-26,24.9,daily
2011-08-29,25.5,daily
2011-08-30,26.3,daily
2011-08-31,26.45,daily
2011-09-01,26.7,daily
2011-09-02,26.8,daily
2011-09-05,26.4,daily
2011-09-06,26.0,daily
2011-09-07,27.4,daily
2011-09-08,27.3,daily
2011-09-09,27.05,daily
2011-09-13,26.7,daily
2011-09-14,26.15,daily
2011-09-15,27.35,daily
2011-09-16,29.25,daily
2011-09-19,28.6,daily
2011-09-20,28.6,daily
2011-09-21,28.8,daily
2011-09-22,28.3,daily
2011-09-23,26.95,daily
2011-09-26,27.0,daily
2011-09-27,28.8,daily
2011-09-28,28.7,daily
2011-09-29,29.5,daily
2011-09-30,30.5,daily
2011-10-03,29.75,daily
2011-10-04,29.95,daily
2011-10-05,29.4,daily
